Rank,Title,Author,Average Rating
1,To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,078,669 ratings"
2,Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,237,919 ratings"
3,The Diary of a Young Girl,Anne Frank,"4.19 avg rating — 3,705,844 ratings"
4,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 9,973,957 ratings"
5,Animal Farm,George Orwell,"3.99 avg rating — 3,851,454 ratings"
6,The Little Prince,Antoine de Saint-Exupéry,"4.32 avg rating — 2,094,835 ratings"
7,1984,George Orwell,"4.19 avg rating — 4,556,449 ratings"
8,The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,196,201 ratings"
9,The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,502,831 ratings"
10,The Lord of the Rings,J.R.R. Tolkien,"4.53 avg rating — 672,679 ratings"
11,The Book Thief,Markus Zusak,"4.39 avg rating — 2,537,982 ratings"
12,Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,084,528 ratings"
13,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 9,973,957 ratings"
14,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.27 avg rating — 647,281 ratings"
15,Lord of the Flies,William Golding,"3.69 avg rating — 2,887,822 ratings"
16,Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,589,462 ratings"
17,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,682,519 ratings"
18,The Kite Runner,Khaled Hosseini,"4.34 avg rating — 3,128,872 ratings"
19,"The Giver (The Giver, #1)",Lois Lowry,"4.12 avg rating — 2,458,489 ratings"
20,The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,119,778 ratings"
21,Charlotte’s Web,E.B. White,"4.20 avg rating — 1,820,956 ratings"
22,Little Women,Louisa May Alcott,"4.15 avg rating — 2,217,941 ratings"
23,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 8,600,106 ratings"
24,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"4.29 avg rating — 3,939,940 ratings"
25,Of Mice and Men,John Steinbeck,"3.88 avg rating — 2,528,124 ratings"
26,Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,396,863 ratings"
27,Green Eggs and Ham,Dr. Seuss,"4.31 avg rating — 771,200 ratings"
28,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"4.58 avg rating — 4,144,531 ratings"
29,Wuthering Heights,Emily Brontë,"3.89 avg rating — 1,792,371 ratings"
30,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.06 avg rating — 560,873 ratings"
31,The Picture of Dorian Gray,Oscar Wilde,"4.12 avg rating — 1,517,978 ratings"
32,"Night  (The Night Trilogy, #1)",Elie Wiesel,"4.37 avg rating — 1,237,227 ratings"
33,Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,204,988 ratings"
34,The Holy Bible: King James Version,Anonymous,"4.43 avg rating — 290,609 ratings"
35,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 3,663,661 ratings"
36,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.23 avg rating — 1,830,518 ratings"
37,Hamlet,William Shakespeare,"4.02 avg rating — 944,993 ratings"
38,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"4.58 avg rating — 3,250,742 ratings"
39,The Adventures of Huckleberry Finn,Mark Twain,"3.83 avg rating — 1,262,345 ratings"
40,Tolkien On Fairy-stories,J.R.R. Tolkien,"4.32 avg rating — 4,100 ratings"
41,Les Misérables,Victor Hugo,"4.20 avg rating — 794,578 ratings"
42,The Alchemist,Paulo Coelho,"3.91 avg rating — 3,027,958 ratings"
43,Brave New World / Brave New World Revisited,Aldous Huxley,"4.16 avg rating — 164,600 ratings"
44,Crime and Punishment,Fyodor Dostoyevsky,"4.27 avg rating — 894,035 ratings"
45,The Help,Kathryn Stockett,"4.47 avg rating — 2,747,290 ratings"
46,The Secret Garden,Frances Hodgson Burnett,"4.16 avg rating — 1,162,329 ratings"
47,Memoirs of a Geisha,Arthur Golden,"4.15 avg rating — 1,993,564 ratings"
48,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"4.23 avg rating — 2,779,196 ratings"
49,The Odyssey,Homer,"3.81 avg rating — 1,073,353 ratings"
50,A Christmas Carol,Charles Dickens,"4.08 avg rating — 838,692 ratings"
51,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"4.19 avg rating — 537,882 ratings"
52,The Outsiders,S.E. Hinton,"4.12 avg rating — 1,323,910 ratings"
53,A Thousand Splendid Suns,Khaled Hosseini,"4.43 avg rating — 1,518,634 ratings"
54,One Hundred Years of Solitude,Gabriel García Márquez,"4.11 avg rating — 964,796 ratings"
55,The Grapes of Wrath,John Steinbeck,"4.01 avg rating — 902,043 ratings"
56,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"4.31 avg rating — 971,619 ratings"
57,Where the Sidewalk Ends,Shel Silverstein,"4.33 avg rating — 1,395,458 ratings"
58,The Count of Monte Cristo,Alexandre Dumas,"4.30 avg rating — 908,203 ratings"
59,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"4.31 avg rating — 1,367,533 ratings"
60,Where the Wild Things Are,Maurice Sendak,"4.24 avg rating — 999,963 ratings"
61,The Color Purple,Alice Walker,"4.27 avg rating — 679,450 ratings"
62,The Adventures of Tom Sawyer,Mark Twain,"3.92 avg rating — 931,689 ratings"
63,A Tale of Two Cities,Charles Dickens,"3.87 avg rating — 943,281 ratings"
64,Life of Pi,Yann Martel,"3.94 avg rating — 1,616,362 ratings"
65,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"4.14 avg rating — 2,030,478 ratings"
66,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"3.87 avg rating — 1,584,532 ratings"
67,One Flew Over the Cuckoo's Nest,Ken Kesey,"4.20 avg rating — 729,657 ratings"
68,"Oh, the Places You’ll Go!",Dr. Seuss,"4.36 avg rating — 404,611 ratings"
69,Anna Karenina,Leo Tolstoy,"4.09 avg rating — 842,867 ratings"
70,Tuesdays with Morrie,Mitch Albom,"4.17 avg rating — 1,019,262 ratings"
71,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"4.36 avg rating — 325,868 ratings"
72,Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,363,901 ratings"
73,The Old Man and the Sea,Ernest Hemingway,"3.80 avg rating — 1,139,141 ratings"
74,Catch-22,Joseph Heller,"3.99 avg rating — 828,658 ratings"
75,The Scarlet Letter,Nathaniel Hawthorne,"3.43 avg rating — 862,240 ratings"
76,Macbeth,William Shakespeare,"3.90 avg rating — 891,435 ratings"
77,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.39 avg rating — 2,794,997 ratings"
78,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.65 avg rating — 6,534,212 ratings"
79,The Metamorphosis,Franz Kafka,"3.86 avg rating — 1,042,990 ratings"
80,Lolita,Vladimir Nabokov,"3.88 avg rating — 844,916 ratings"
81,Siddhartha,Hermann Hesse,"4.07 avg rating — 766,101 ratings"
82,The Stranger,Albert Camus,"4.02 avg rating — 1,079,710 ratings"
83,The Time Traveler’s Wife,Audrey Niffenegger,"3.99 avg rating — 1,779,922 ratings"
84,Goodnight Moon,Margaret Wise Brown,"4.31 avg rating — 372,334 ratings"
85,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"4.43 avg rating — 3,894,172 ratings"
86,A Tree Grows in Brooklyn,Betty  Smith,"4.29 avg rating — 463,085 ratings"
87,War and Peace,Leo Tolstoy,"4.16 avg rating — 326,123 ratings"
88,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"4.35 avg rating — 152,690 ratings"
89,A Clockwork Orange,Anthony Burgess,"really liked it 4.00 avg rating — 708,827 ratings"
90,All Quiet on the Western Front,Erich Maria Remarque,"4.07 avg rating — 456,714 ratings"
91,The Stand,Stephen King,"4.35 avg rating — 756,245 ratings"
92,Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 269,350 ratings"
93,Uncle Tom’s Cabin,Harriet Beecher Stowe,"3.90 avg rating — 226,443 ratings"
94,القرآن الكريم,Anonymous,"4.38 avg rating — 67,762 ratings"
95,Atlas Shrugged,Ayn Rand,"3.69 avg rating — 389,177 ratings"
96,The Brothers Karamazov,Fyodor Dostoevsky,"4.37 avg rating — 329,238 ratings"
97,The Poisonwood Bible,Barbara Kingsolver,"4.09 avg rating — 740,813 ratings"
98,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"4.24 avg rating — 86,245 ratings"
99,"Moby-Dick or, The Whale",Herman Melville,"3.54 avg rating — 557,567 ratings"
100,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"4.29 avg rating — 527,972 ratings"
